iter	Passed	Remaining
0	0	66
1	1	74
2	3	106
3	4	97
4	5	95
5	6	95
6	7	95
7	8	96
8	9	96
9	10	92
10	11	89
11	12	88
12	12	86
13	13	85
14	14	83
15	15	82
16	16	81
17	17	80
18	18	79
19	19	78
20	20	77
21	21	75
22	22	73
23	22	72
24	23	71
25	24	69
26	25	67
27	25	66
28	26	64
29	27	63
30	27	61
31	28	60
32	29	59
33	29	57
34	30	56
35	31	55
36	31	54
37	32	52
38	32	51
39	33	50
40	33	48
41	34	47
42	34	46
43	35	44
44	35	43
45	36	42
46	36	41
47	37	40
48	37	39
49	38	38
50	39	37
51	39	36
52	40	35
53	40	34
54	40	33
55	41	32
56	41	31
57	42	30
58	42	29
59	43	28
60	43	28
61	44	27
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	47	22
68	48	21
69	48	20
70	49	20
71	49	19
72	50	18
73	50	17
74	51	17
75	51	16
76	52	15
77	52	14
78	53	14
79	53	13
80	54	12
81	54	12
82	55	11
83	56	10
84	56	9
85	57	9
86	57	8
87	58	7
88	58	7
89	59	6
90	59	5
91	60	5
92	60	4
93	61	3
94	61	3
95	62	2
96	62	1
97	63	1
98	63	0
99	64	0
